datetime,co,Lat,Long,day,month,year,hour,gmt,no2,o3,pm10,pm25,so2
2017-08-11 00:00:00,0.29,34.06643,-118.22675,1,08,2017,00,-08:00,0.01,0.051,33.0,17.0,0.0
2017-08-10 22:00:00,0.26,34.06643,-118.22675,0,08,2017,22,-08:00,0.009000000000000001,0.062,37.0,19.0,0.0
2017-08-12 04:00:00,0.32,34.06643,-118.22675,2,08,2017,04,-08:00,0.011000000000000001,0.025,28.0,13.0,0.0
2017-08-12 11:00:00,0.38,34.06643,-118.22675,2,08,2017,11,-08:00,0.013000000000000001,0.011000000000000001,27.0,16.0,0.0
2017-08-11 01:00:00,0.28,34.06643,-118.22675,1,08,2017,01,-08:00,0.01,0.05,35.0,18.0,0.0
2017-08-12 02:00:00,0.27,34.06643,-118.22675,2,08,2017,02,-08:00,0.009000000000000001,0.031,29.0,12.0,0.0
2017-09-02 13:00:00,0.66,34.06643,-118.22675,2,09,2017,13,-08:00,0.043,0.002,56.0,26.0,0.001
2017-09-02 09:00:00,0.87,34.06643,-118.22675,2,09,2017,09,-08:00,0.048,0.002,63.0,25.0,0.001
2017-08-12 06:00:00,0.32,34.06643,-118.22675,2,08,2017,06,-08:00,0.012,0.018000000000000002,22.0,11.0,0.0
2017-08-12 05:00:00,0.3,34.06643,-118.22675,2,08,2017,05,-08:00,0.011000000000000001,0.022000000000000002,27.0,13.0,0.0
2017-08-10 21:00:00,0.29,34.06643,-118.22675,0,08,2017,21,-08:00,0.01,0.064,49.0,27.0,0.001
2017-08-11 07:00:00,0.27,34.06643,-118.22675,1,08,2017,07,-08:00,0.015,0.019,27.0,16.0,0.0
2017-08-11 10:00:00,0.33,34.06643,-118.22675,1,08,2017,10,-08:00,0.011000000000000001,0.013000000000000001,27.0,15.0,0.0
2017-09-12 11:00:00,0.21,34.06643,-118.22675,2,09,2017,11,-08:00,0.008,0.019,21.0,17.0,0.0
2017-08-21 10:00:00,0.18,34.06643,-118.22675,1,08,2017,10,-08:00,0.006,0.027000000000000003,16.0,13.0,0.0
2017-08-12 08:00:00,0.33,34.06643,-118.22675,2,08,2017,08,-08:00,0.017,0.013999999999999999,22.0,18.0,0.0
2017-08-16 14:00:00,0.23,34.06643,-118.22675,6,08,2017,14,-08:00,0.018000000000000002,0.011000000000000001,15.0,16.0,0.0
2017-09-26 18:00:00,0.46,34.06643,-118.22675,6,09,2017,18,-08:00,0.032,0.044000000000000004,60.0,25.0,0.0
2017-09-12 10:00:00,0.23,34.06643,-118.22675,2,09,2017,10,-08:00,0.009000000000000001,0.019,22.0,14.0,0.0
2017-08-19 02:00:00,0.18,34.06643,-118.22675,9,08,2017,02,-08:00,0.008,0.034,29.0,15.0,0.0
2017-08-12 03:00:00,0.24,34.06643,-118.22675,2,08,2017,03,-08:00,0.009000000000000001,0.028999999999999998,27.0,14.0,0.0
2017-08-11 02:00:00,0.27,34.06643,-118.22675,1,08,2017,02,-08:00,0.009000000000000001,0.045,35.0,21.0,0.0
2017-08-12 09:00:00,0.34,34.06643,-118.22675,2,08,2017,09,-08:00,0.019,0.011000000000000001,27.0,18.0,0.0
2017-08-10 23:00:00,0.27,34.06643,-118.22675,0,08,2017,23,-08:00,0.009000000000000001,0.055999999999999994,36.0,17.0,0.0
2017-08-21 15:00:00,0.27,34.06643,-118.22675,1,08,2017,15,-08:00,0.017,0.017,32.0,19.0,0.0
2017-09-02 17:00:00,0.28,34.06643,-118.22675,2,09,2017,17,-08:00,0.017,0.046,48.0,16.0,0.001
2017-09-06 02:00:00,0.26,34.06643,-118.22675,6,09,2017,02,-08:00,0.009000000000000001,0.025,18.0,8.0,0.0
2017-08-12 15:00:00,0.39,34.06643,-118.22675,2,08,2017,15,-08:00,0.021,0.013000000000000001,49.0,39.0,0.0
2017-09-05 14:00:00,0.34,34.06643,-118.22675,5,09,2017,14,-08:00,0.013999999999999999,0.019,32.0,22.0,0.0
2017-09-12 00:00:00,0.23,34.06643,-118.22675,2,09,2017,00,-08:00,0.006999999999999999,0.057,24.0,16.0,0.0
2017-09-12 03:00:00,0.22,34.06643,-118.22675,2,09,2017,03,-08:00,0.013999999999999999,0.032,22.0,15.0,0.0
2017-08-11 23:00:00,0.25,34.06643,-118.22675,1,08,2017,23,-08:00,0.006999999999999999,0.057,37.0,24.0,0.0
2017-08-12 10:00:00,0.39,34.06643,-118.22675,2,08,2017,10,-08:00,0.013999999999999999,0.013000000000000001,27.0,17.0,0.0
2017-09-05 13:00:00,0.32,34.06643,-118.22675,5,09,2017,13,-08:00,0.013000000000000001,0.016,30.0,16.0,0.0
2017-08-12 13:00:00,0.43,34.06643,-118.22675,2,08,2017,13,-08:00,0.015,0.009000000000000001,30.0,18.0,0.0
2017-09-05 04:00:00,0.24,34.06643,-118.22675,5,09,2017,04,-08:00,0.01,0.024,22.0,17.0,0.0
2017-09-02 10:00:00,0.6,34.06643,-118.22675,2,09,2017,10,-08:00,0.04,0.005,52.0,23.0,0.001
2017-09-12 12:00:00,0.23,34.06643,-118.22675,2,09,2017,12,-08:00,0.008,0.021,22.0,10.0,0.0
2017-09-02 12:00:00,0.8,34.06643,-118.22675,2,09,2017,12,-08:00,0.040999999999999995,0.002,41.0,21.0,0.001
2017-08-17 02:00:00,0.16,34.06643,-118.22675,7,08,2017,02,-08:00,0.008,0.036000000000000004,30.0,16.0,0.0
2017-08-20 23:00:00,0.15,34.06643,-118.22675,0,08,2017,23,-08:00,0.004,0.049,21.0,10.0,0.0
2017-09-07 04:00:00,0.34,34.06643,-118.22675,7,09,2017,04,-08:00,0.026000000000000002,0.013999999999999999,40.0,21.0,0.0
2017-08-16 13:00:00,0.18,34.06643,-118.22675,6,08,2017,13,-08:00,0.015,0.015,20.0,11.0,0.0
2017-09-02 06:00:00,0.92,34.06643,-118.22675,2,09,2017,06,-08:00,0.054000000000000006,0.002,61.0,23.0,0.001
2017-08-21 16:00:00,0.31,34.06643,-118.22675,1,08,2017,16,-08:00,0.02,0.02,41.0,24.0,0.0
2017-09-02 16:00:00,0.43,34.06643,-118.22675,2,09,2017,16,-08:00,0.024,0.031,58.0,28.0,0.001
2017-09-12 04:00:00,0.25,34.06643,-118.22675,2,09,2017,04,-08:00,0.015,0.031,22.0,14.0,0.0
2017-09-12 05:00:00,0.25,34.06643,-118.22675,2,09,2017,05,-08:00,0.021,0.025,23.0,16.0,0.0
2017-08-12 01:00:00,0.25,34.06643,-118.22675,2,08,2017,01,-08:00,0.008,0.040999999999999995,30.0,15.0,0.0
2017-08-16 05:00:00,0.19,34.06643,-118.22675,6,08,2017,05,-08:00,0.01,0.021,17.0,8.0,0.0
2017-09-06 01:00:00,0.24,34.06643,-118.22675,6,09,2017,01,-08:00,0.006,0.03,17.0,10.0,0.0
2017-09-05 08:00:00,0.22,34.06643,-118.22675,5,09,2017,08,-08:00,0.006,0.023,21.0,14.0,0.0
2017-09-05 03:00:00,0.21,34.06643,-118.22675,5,09,2017,03,-08:00,0.009000000000000001,0.027000000000000003,25.0,19.0,0.0
2017-08-12 00:00:00,0.23,34.06643,-118.22675,2,08,2017,00,-08:00,0.006999999999999999,0.045,34.0,17.0,0.0
2017-09-11 23:00:00,0.24,34.06643,-118.22675,1,09,2017,23,-08:00,0.006999999999999999,0.069,29.0,14.0,0.0
2017-09-06 00:00:00,0.22,34.06643,-118.22675,6,09,2017,00,-08:00,0.006,0.034,21.0,11.0,0.0
2017-09-12 13:00:00,0.3,34.06643,-118.22675,2,09,2017,13,-08:00,0.013999999999999999,0.015,23.0,13.0,0.0
2017-09-05 07:00:00,0.28,34.06643,-118.22675,5,09,2017,07,-08:00,0.011000000000000001,0.018000000000000002,25.0,26.0,0.0
2017-08-19 00:00:00,0.18,34.06643,-118.22675,9,08,2017,00,-08:00,0.006999999999999999,0.038,28.0,16.0,0.0
2017-08-21 11:00:00,0.17,34.06643,-118.22675,1,08,2017,11,-08:00,0.006999999999999999,0.026000000000000002,24.0,19.0,0.0
2017-08-21 17:00:00,0.33,34.06643,-118.22675,1,08,2017,17,-08:00,0.022000000000000002,0.02,43.0,20.0,0.0
2017-08-21 05:00:00,0.14,34.06643,-118.22675,1,08,2017,05,-08:00,0.006,0.03,14.0,12.0,0.0
2017-08-11 05:00:00,0.28,34.06643,-118.22675,1,08,2017,05,-08:00,0.01,0.024,27.0,16.0,0.0
2017-08-16 04:00:00,0.2,34.06643,-118.22675,6,08,2017,04,-08:00,0.01,0.021,17.0,10.0,0.0
2017-08-21 14:00:00,0.22,34.06643,-118.22675,1,08,2017,14,-08:00,0.012,0.02,30.0,19.0,0.0
2017-09-02 04:00:00,0.54,34.06643,-118.22675,2,09,2017,04,-08:00,0.049,0.008,53.0,22.0,0.0
2017-08-19 23:00:00,0.16,34.06643,-118.22675,9,08,2017,23,-08:00,0.005,0.048,27.0,17.0,0.0
2017-09-06 23:00:00,0.19,34.06643,-118.22675,6,09,2017,23,-08:00,0.006,0.040999999999999995,30.0,15.0,0.0
2017-09-26 14:00:00,1.15,34.06643,-118.22675,6,09,2017,14,-08:00,0.042,0.002,61.0,12.0,0.0
2017-09-15 23:00:00,0.17,34.06643,-118.22675,5,09,2017,23,-08:00,0.006,0.043,23.0,11.0,0.0
2017-09-12 08:00:00,0.29,34.06643,-118.22675,2,09,2017,08,-08:00,0.012,0.02,26.0,18.0,0.0
2017-08-16 06:00:00,0.19,34.06643,-118.22675,6,08,2017,06,-08:00,0.009000000000000001,0.021,15.0,7.0,0.0
2017-08-21 04:00:00,0.14,34.06643,-118.22675,1,08,2017,04,-08:00,0.004,0.032,14.0,11.0,0.0
2017-09-26 01:00:00,0.23,34.06643,-118.22675,6,09,2017,01,-08:00,0.009000000000000001,0.053,20.0,4.0,0.0
2017-09-05 05:00:00,0.24,34.06643,-118.22675,5,09,2017,05,-08:00,0.012,0.021,21.0,17.0,0.0
2017-09-02 14:00:00,0.66,34.06643,-118.22675,2,09,2017,14,-08:00,0.042,0.006,62.0,30.0,0.001
